woolbird 	sheep
antechinus 	carnivorous mouselike Australian marsupial
bulbul 	gregarious songbird
nutria 	amphibious South American rodent
lechwe 	light brown water antelope of South Africa
muntjac 	small tusked East Asian deer
douc 	southern Chinese monkey
quarrion 	Australian parrot like the cockatiel
morel 	dark-coloured horse; blackish colour
tamaraw 	water buffalo
vedalia 	Australian pest-eating ladybug
queyock 	heifer
siamang 	southeast Asian gibbon-like black ape
dobbin 	workhorse
cleg 	horse-fly
pufferfish 	poisonous fish (including fugu, above) that inflate into balloon-like shapes when threatened
zyzzyva 	South American weevil
colt 	a young male horse
uromastix 	spiky-tailed ground-dwelling lizard
megalodon 	an extinct giant shark, one of the largest predators ever, up to 65 feet long
kiang 	wild Tibetan horse
yaffingale 	green woodpecker
zebu 	ox with hump and dewlap
emmet 	ant
tarpan 	small wild horse of southern Russia
iiwi 	bright red Hawaiian bird
harrier 	medium-sized scenting dog for hunting hares
puku 	red Central African antelope
jennet 	small Spanish horse
urial 	wild central Asian sheep with reddish coat and long curved horns
ipiti 	a small antelope
skua 	large north Atlantic gull
tucutucu 	rat-like burrowing South American rodent
banteng 	wild ox of Southeast Asia
oropendola 	tropical oriole living in long hanging nests
rooibok 	impala
prawn 	a name for the larger kinds of shrimp
langur 	long-tailed Indian monkey
pudu 	small Chilean deer
desman 	aquatic insectivorous musk-secreting Russian rat
hake 	a food fish with an elongated body and a large head
grouper 	a stubby, big-mouthed fish; many can change sex from female to male
tube_worms 	a variety of different marine invertebrates that secrete hard tubes to protect themselves
anhinga 	long-necked fish-eating tropical American bird
culver 	dove or pigeon
dottyback 	 brightly colored fish of coral reefs
tayra 	small South American weasel-like carnivore
zander 	a variety of European perch
aurochs 	extinct wild ox
bullock 	a young male cow that has been castrated 
yearling 	a young cow, deer, or horse that is between one and two years old
lion 	large carnivorous cat;
heifer 	a young cow that has not given birth to a calf
ichneumon 	small mongoose-like carnivorous quadruped
octodont 	degu
teg 	a sheep in its second year; the fleece of such a sheep
zooplankton 	the huge variety of tiny animals, eggs, and larvae that drift in oceans
blauwbok 	extinct bluish-coloured antelope of southern Africa
porker 	a young pig that has been made fat so that it can be eaten as pork
brocken 	two-year-old stag
pilchard 	a small, oily fish that typically swims in large schools
shearling 	one-year-old sheep
piglet 	a young pig
porbeagle 	shark with a pointed snout
grayling 	silver-grey freshwater fish
sumpter 	pack horse; beast of burden
wisent 	extinct European bison
springbok 	South African antelope known for leaping
kine 	cows
narwhal 	an Arctic whale whose males have a long tusk
urochs 	extinct wild ox or bison
hammerkop 	brown African heron with hammer-shaped crest on head
hoatzin 	South American tropical bird whose young have clawed wings
dolphin 	an intelligent, vocal, social sea mammal
hocco 	South American bird resembling a turkey
cod 	a deep-sea fish, formerly a staple food in Europe and America, now greatly reduced in numbers in the Atlantic
kereru 	pigeon variety of New Zealand
goral 	small horned antelope living in mountainous regions of south Asia
zokor 	central Asian mole-like burrowing rodent
uguisu 	olive-plumed bush warbler
coypu 	large aquatic South American rodent
falconet 	small variety of falcon
brandling 	striped earthworm used as fishing bait
corella 	cockateel
barbet 	stout-billed tropical bird
eland 	large heavily built African antelope
ibis 	large stork-like bird; a pale apricot colour
hutia 	large Caribbean rat-like rodent
mackerel 	a food fish with a striped back and deeply-pronged tail
anoa 	small wild ox of Indonesia
whiting 	a food fish of the cod family, of the shallow coastal waters off Europe
degu 	rat-like rodent of South America
gowk 	a cuckoo; a fool
jerboa 	nocturnal desert-dwelling jumping rodent
lutung 	small monkey of Malaysia
tuatara 	spiny reptile of New Zealand with vestigial third eye
jurel 	coastal fish of southern United States
hyrax 	small rodent-like ungulate
sunbittern 	brightly coloured South American bird
argali 	large-horned Asian wild sheep
urraca 	noisy South American bird
scanderoon 	homing pigeon
dabchick 	small grebe
foal 	a young horse, or a young donkey or mule
steenbok 	small South African antelope
fawn 	a young deer
trogon 	tropical bird with brilliant plumage
jabiru 	large tropical stork with massive bill
iulus 	millipede
junco 	North American finch
lobster 	a large crustacean with a muscular tail and two large claws
gundi 	desert-dwelling small rodent of northern Africa with bristles on feet
quetzal 	gold and green bird with long tail feathers
ithomiid 	tropical South American butterfly
kitten 	a young cat
whapuku 	a large fish, prized for food, from the seas off New Zealand and Australia
capybara 	tailless aquatic rodent of South America
lammergeier 	giant vulture-like bird of prey
nightjar 	nocturnal insectivorous Old World migratory bird
civet 	long-tailed catlike carnivorous mammal with musk glands
thamin 	small deer with curved horns, native to southeast Asia
tenrec 	spiny insectivorous mammal of Madagascar
rach 	dog that hunts by scent
whiffet 	paltry person; little dog
oryx 	large antelope of Africa and Arabia with long horns
conch 	an edible shellfish with a distinctive spiral shell
kleenebok 	small South African antelope
kagu 	long-legged bird of New Caledonia
blesbok 	South African antelope with white patch on forehead
tinamou 	ground-dwelling South American bird
onocrotal 	old term for the pelican
uakari 	short-tailed, long-haired monkey
cusk 	large Atlantic fish like the cod
jiboya 	boa constrictor
kudu 	African antelope with spiralling horns
zho 	cross between a yak and a cow
vampire_squid 	a primitive cephalopod living at great depths, covered with light-emitting spots, with dark webbing connecting its tentacles
memertea 	a primitive invertebrate with a stinging organ in its front end
kouprey 	wild ox of Cambodia
uraster 	starfish
dragonet 	a showy tropical fish of the Indian and Pacific Oceans, with dragon-like eyes and fins
culex 	mosquito
tiger_shark 	a large shark (up to 16 feet) of tropical and subtropical oceans, with dark stripes
coral 	polyps, mostly tropical, mostly living in huge colonies along with photosynthesizing microorganisms
grebe 	diving bird resembling the loon
turaco 	crested African colourful bird with long tail and red wings
yelting 	glass-eyed snapper
beira 	pygmy antelope
anole 	arboreal American lizard with ability to change colour
barracuda 	a tropical and subtropical predatory fish with a feisty appearance
petrel 	long-winged seabird with hooked bill
okapi 	short-necked giraffe
huemul 	yellow-brown South American deer
cassowary 	large flightless Melanesian bird
nudibranch 	a colorful marine slug
kyloe 	small long-haired cattle
xiphosuran 	horseshoe crab
octopus 	a color-changing mollusk with eight suction-cup-bearing tentacles; the most intelligent invertebrate
gemsbok 	large South African antelope
quawk 	black-crowned night heron
percheron 	dappled cart horse
duarf 	fictitious nineteen-toed fish of Erewhon
stellion 	lizard with starry spots
loris 	large-eyed south Asian arboreal primate
bharal 	bluish-gray Himalayan goat
zeren 	light brown Mongolian gazelle
vicuna 	soft-fleeced Andean ruminant
sounder 	herd of pigs; young boar
chuckwalla 	herbivorous desert-dwelling lizard
viper_fish 	a deep-sea fish with long, sharp teeth, big jaws, and an illuminated bell-shaped lure
colocolo 	wild South American cat
yellow_tang 	a small bright yellow fish of Indo-Pacific reefs, popular in saltwater aquariums
olm 	blind aquatic cave-dwelling European salamander
angelfish 	a bright-colored fish of coral reefs
guereza 	black and white Ethiopian tufted monkey
gymnure 	hairy hedgehog
babirusa 	large wild pig of Indonesia
kid 	a young goat
abalone 	a large edible sea snail of coastal waters
albacore 	a prized species of tuna
sponge 	a marine invertebrate with a porous body without distinct tissues or organs
zemni 	blind mole-rat
whelp 	an old word meaning a very young animal, such as a young dog, bear ,or wolf, that is still being fed by its mother
zebrule 	hybrid offspring of male zebra and female horse
joey 	a young kangaroo, wallaby, or possum
diprotodon 	gigantic prehistoric marsupial with two incisors in lower jaw
quoll 	native cat-like marsupial of Australia
mulloway 	a predatory fish mostly found on Australian rocky shorelines
phalarope 	migratory shorebird with lobed feet
potto 	small nocturnal West African monkey
pullet 	a chicken that is less than a year old
galago 	woolly long-tailed nocturnal lemur (bush baby)
goa 	Tibetan gazelle with backward-curving horns
bandicoot 	small long-nosed ratlike marsupial
dowitcher 	long-billed North American wading bird
linsang 	white civet-like Javanese mammal
gaur 	wild ox
yellowtail_amberjack 	a large food fish of the Indo-Pacific region
tsessebe 	central African antelope with lyre-shaped horns
dobsonfly 	soft-bodied insect with large mandibles
jade 	pitiful horse; a nag
ling 	a long slender fish of the North Atlantic
xenurine 	species of armadillo
sea_turtle 	seven species of turtles that have flippers for limbs; they may live for hundreds of years
skink 	small north African lizard
suckling 	a baby or young animal that still drinks milk from its mother
lionfish 	a venomous fish with red and white stripes and spiny dorsal fins
rosella 	bright-coloured Australian parakeet
leveret 	a hare in its first year; a mistress
colugo 	flying lemur
xenops 	a small tropical rainforest bird
bittern 	small heron
aberdevine 	alternate name for the siskin
yeanling 	lamb; kid
seriema 	large crested Brazilian bird
kob 	African water antelope
nautilus 	a primitive mollusk of the tropical Pacific, with a spiral shell and tentacles
pika 	rabbit-like mountain-dwelling mammal with rounded ears
aasvogel 	South African vulture
sea_urchin 	an echinoderm, often with a spherical body covered with long spines
gharial 	large Indian crocodile with long snout
grunion 	a small, slender fish that spawns on beaches at night in Southern California and Baja California
sea_lion 	a large, eared seal with long limbs acting as flippers
bangtail 	mustang or wild horse
colobus 	long-tailed African monkey
flounder 	a flatfish, camouflaged to match the ocean bottom, with both its eyes located on one side
sea_cucumber 	a soft, sausage-shaped echinoderm with leathery skin and a tentacled mouth
aardwolf 	South African carnivorous fox-like quadruped
quaviver 	fish otherwise known as the sea-dragon or dragonet
zebra 	a striped horse
plankton 	tiny marine organisms of all kinds—animals, plants, bacteria, algae, protists—that play a major role in the world’s food chains and chemical cycles
yakow 	animal crossbred from male yak and domestic cow
ouzel 	blackbird; a dark-haired person
genet 	spotted long-tailed carnivorous mammal like the civet
kinkajou 	carnivorous South American raccoon-like mammal
bongo 	reddish African antelope with white vertical stripes
caiman 	small alligator-like reptile
xanthareel 	yellow eel formerly used in medicinal foods
cabrilla 	Atlantic sea bass
kea 	green parrot of New Zealand
jellyfish 	among the world’s most ancient multicelled animals, with a soft, jelly-like “bell” and tentacles
walrus 	a large Arctic marine mammal with long tusks and whiskers
violet_sea_snail 	a purple sea snail of tropical and subtropical oceans that floats on a raft of mucus bubbles
mahimahi 	a medium-sized fish with a long back fin running from head to tail
pichi 	small dark Argentinian armadillo
offspring 	the baby or babies of an animal
biscacha 	burrowing South American rodent
avocet 	long-legged wading bird with upward-curving bill
unicornfish 	an Indo-Pacific fish with a horn-like protrusion on its forehead
wether 	castrated ram
aepyornis 	gigantic flightless bird of Madagascar
ostracod 	a tiny, two-shelled crustacean, abounding in oceans as well as in humid environments on land
sambar 	large reddish deer of southern Asia
titi 	small South American arboreal monkey
puppy 	a very young dog
yapok 	an amphibious opossum of South America
dhole 	wild Asian dog
lamprey 	a jawless fish with an eel-like body, circular sucking mouth, and triangular teeth; many are bloodsuckers
douroucouli 	small South American nocturnal monkey
dik-dik 	small east African antelope
reedbuck 	antelope frequenting reeds
chamois 	goatlike antelope of mountainous regions of Europe
chevrotain 	small cloven-footed deerlike animal of southeast Asia
serow 	Himalayan and South Asian goatlike antelope
porcupinefish 	a spiny tropical marine fish that can inflate itself
rooirhebok 	reddish South African antelope
caracal 	long-legged nocturnal cat of African and Asian savannahs with long ears
pangolin 	scaly insectivorous mammal with elongated snout
calf 	a young animal such as a young elephant, whale, or giraffe
curlew 	long-legged migratory bird with downward-curving bill
pup 	a very young dog or seal 
mantaray 	a very large ray (up to 20 feet), a filter-feeder of open oceans
blenny 	a small fish with comb-like teeth native to coral reefs of the western Pacific
amphiuma 	aquatic American salamander with two pairs of small feet
gayal 	domesticated ox with tufted tail, native to south Asia
tuza 	Mexican pouched rodent
topi 	reddish-brown antelope of sub-Saharan Africa
leopon 	crossbreed between a leopard and a lion
isatis 	Arctic fox
velvet_crab 	a small swimming crab of the North Atlantic and western Mediterranean
tamandua 	arboreal New World anteater with hairless tail
serval 	tawny carnivorous South African catlike quadruped
querquedule 	pin-tail duck; a teal
falanouc 	carnivorous mongoose-like mammal of Madagascar
chick 	a baby bird
keffel 	a horse; a nag
izard 	goatlike antelope found in the Pyrenees
rorqual 	large whale with dorsal fin
krill 	tiny shrimp-like crustaceans, very numerous in all oceans, important food for other creatures
xeme 	fork-tailed gull
